M,GAMMA,PCT,Dataset,All ACC,Old ACC,New ACC,H-score,Pseudo
4,0.05,10,Unlabeled Train,84.4,85.71,81.77,83.69,3505
4,0.05,10,Test Set,80.24,83.4,67.6,74.67,3505
4,0.1,10,Unlabeled Train,84.38,85.69,81.77,83.68,3509
4,0.1,10,Test Set,80.26,83.43,67.6,74.68,3509
4,0.2,10,Unlabeled Train,84.85,85.59,83.37,84.47,3507
4,0.2,10,Test Set,80.49,83.44,68.7,75.35,3507
8,0.05,10,Unlabeled Train,84.65,86.63,80.69,83.56,3511
8,0.05,10,Test Set,80.45,83.38,68.75,75.36,3511
8,0.1,10,Unlabeled Train,84.61,86.59,80.64,83.51,3512
8,0.1,10,Test Set,80.43,83.36,68.7,75.32,3512
8,0.2,10,Unlabeled Train,84.89,85.74,83.18,84.44,3513
8,0.2,10,Test Set,80.46,83.4,68.7,75.34,3513
16,0.05,0,Unlabeled Train,84.05,85.75,80.65,83.12,0
16,0.05,0,Test Set,80.12,83.62,66.1,73.84,0
16,0.05,5,Unlabeled Train,84.42,85.77,81.72,83.69,1746
16,0.05,5,Test Set,80.29,83.5,67.45,74.62,1746
16,0.05,10,Unlabeled Train,84.97,85.69,83.53,84.59,3513
16,0.05,10,Test Set,80.55,83.5,68.75,75.41,3513
16,0.05,15,Unlabeled Train,84.33,85.81,81.37,83.53,5239
16,0.05,15,Test Set,80.35,83.54,67.6,74.73,5239
16,0.05,20,Unlabeled Train,84.92,85.77,83.23,84.48,6957
16,0.05,20,Test Set,80.46,83.43,68.6,75.29,6957
16,0.1,10,Unlabeled Train,84.95,85.66,83.52,84.58,3513
16,0.1,10,Test Set,80.51,83.45,68.75,75.39,3513
16,0.2,10,Unlabeled Train,84.95,85.68,83.5,84.58,3527
16,0.2,10,Test Set,80.45,83.39,68.7,75.33,3527
